Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
492,616,1099,715,212,683,363,314
480,606,1106,669,211,647,320,224
430,638,1080,577,191,568,240,227
445,643,1054,514,175,472,225,219
312,612,932,517,171,413,225,212
302,591,933,498,175,387,188,327
286,575,902,484,155,348,185,330
292,552,865,452,141,342,180,312
252,476,834,428,131,336,174,302
239,460,832,413,125,356,167,300
273,463,822,420,135,274,165,156
293,512,962,470,152,255,131,150
